Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sales,Sub-Category,Quantity,Discount,Profit
Standard Class,Corporate,United States,Dallas,Texas,75220,Central,Office Supplies,6.316,Binders,1,0.8,-10.4214
First Class,Home Office,United States,Philadelphia,Pennsylvania,19143,East,Office Supplies,11.352,Paper,3,0.2,4.1151
First Class,Home Office,United States,Philadelphia,Pennsylvania,19143,East,Office Supplies,20.808,Labels,9,0.2,7.0227
Standard Class,Home Office,United States,Rockford,Illinois,61107,Central,Office Supplies,11.416,Binders,4,0.8,-18.8364
Second Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,9.408,Art,7,0.2,0.7056
First Class,Home Office,United States,Seattle,Washington,98105,West,Office Supplies,19.83,Art,1,0,5.949
Standard Class,Corporate,United States,Grand Rapids,Michigan,49505,Central,Office Supplies,209.7,Paper,2,0,100.656
Standard Class,Home Office,United States,Los Angeles,California,90004,West,Office Supplies,43.92,Appliances,4,0,11.8584
Standard Class,Home Office,United States,Los Angeles,California,90004,West,Office Supplies,20.232,Binders,3,0.2,6.5754
First Class,Home Office,United States,Springfield,Virginia,22153,South,Technology,149.97,Phones,3,0,5.9988
First Class,Home Office,United States,Springfield,Virginia,22153,South,Office Supplies,27.81,Paper,3,0,13.0707
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Technology,66.3,Accessories,3,0,8.619
Standard Class,Home Office,United States,Baltimore,Maryland,21215,East,Office Supplies,1.64,Art,1,0,0.738
Standard Class,Home Office,United States,Baltimore,Maryland,21215,East,Furniture,1049.2,Furnishings,5,0,272.792
Standard Class,Home Office,United States,Baltimore,Maryland,21215,East,Furniture,20.9,Furnishings,5,0,7.524
Second Class,Consumer,United States,Fairfield,Connecticut,6824,East,Office Supplies,88.08,Binders,6,0,40.5168
Second Class,Consumer,United States,Fairfield,Connecticut,6824,East,Furniture,751.92,Chairs,4,0,150.384
Same Day,Corporate,United States,New York City,New York,10011,East,Furniture,887.103,Chairs,7,0.1,177.4206
Same Day,Consumer,United States,Lakeland,Florida,33801,South,Technology,55.944,Phones,7,0.2,-13.2867
Same Day,Consumer,United States,Lakeland,Florida,33801,South,Office Supplies,10.688,Art,2,0.2,2.2712
Same Day,Consumer,United States,Lakeland,Florida,33801,South,Technology,11.824,Phones,2,0.2,1.0346
First Class,Consumer,United States,Freeport,Illinois,61032,Central,Office Supplies,63.312,Paper,3,0.2,20.5764
First Class,Consumer,United States,Freeport,Illinois,61032,Central,Office Supplies,96.784,Binders,4,0.8,-145.176
First Class,Consumer,United States,Freeport,Illinois,61032,Central,Furniture,10.476,Furnishings,3,0.6,-6.8094
Standard Class,Corporate,United States,Medford,Oregon,97504,West,Office Supplies,9.762,Binders,2,0.7,-6.8334
First Class,Corporate,United States,Seattle,Washington,98103,West,Furniture,196.784,Chairs,2,0.2,-22.1382
Second Class,Corporate,United States,New York City,New York,10035,East,Office Supplies,47.98,Envelopes,2,0,23.99
Second Class,Corporate,United States,Fairfield,Connecticut,6824,East,Office Supplies,13.05,Labels,5,0,6.003
Standard Class,Consumer,United States,Moorhead,Minnesota,56560,Central,Technology,63.96,Accessories,4,0,19.8276
Standard Class,Consumer,United States,Columbus,Georgia,31907,South,Office Supplies,80.48,Appliances,1,0,24.144
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19143,East,Office Supplies,11.673,Binders,3,0.7,-7.782
Standard Class,Consumer,United States,Houston,Texas,77036,Central,Furniture,863.128,Tables,8,0.3,-160.2952
Standard Class,Consumer,United States,Houston,Texas,77036,Central,Office Supplies,3.564,Binders,3,0.8,-6.237
Standard Class,Consumer,United States,Houston,Texas,77036,Central,Furniture,956.6648,Bookcases,7,0.32,-225.0976
Standard Class,Consumer,United States,Houston,Texas,77036,Central,Office Supplies,12.588,Binders,3,0.8,-20.1408
Standard Class,Consumer,United States,Houston,Texas,77036,Central,Technology,171.96,Accessories,5,0.2,45.1395
Second Class,Consumer,United States,Seattle,Washington,98115,West,Furniture,871.4,Tables,4,0,148.138
Standard Class,Corporate,United States,Jackson,Tennessee,38301,South,Furniture,692.472,Furnishings,11,0.2,190.4298
Second Class,Corporate,United States,Baltimore,Maryland,21215,East,Furniture,207.76,Furnishings,4,0,85.1816
Same Day,Consumer,United States,Murray,Utah,84107,West,Technology,71.928,Phones,9,0.2,6.2937
Same Day,Consumer,United States,Murray,Utah,84107,West,Office Supplies,25.99,Art,1,0,7.5371
Standard Class,Corporate,United States,Seattle,Washington,98105,West,Office Supplies,3.592,Binders,1,0.2,1.1225
Standard Class,Corporate,United States,Dallas,Texas,75220,Central,Office Supplies,48.632,Appliances,2,0.8,-121.58
Standard Class,Home Office,United States,Seattle,Washington,98105,West,Office Supplies,323.1,Storage,2,0,61.389
Standard Class,Corporate,United States,Lakewood,New Jersey,8701,East,Technology,9099.93,Machines,7,0,2365.9818
Standard Class,Corporate,United States,Lakewood,New Jersey,8701,East,Furniture,9.96,Furnishings,2,0,3.2868
Standard Class,Corporate,United States,Lakewood,New Jersey,8701,East,Office Supplies,25.3,Binders,5,0,11.891
Standard Class,Home Office,United States,New York City,New York,10011,East,Office Supplies,11.36,Paper,2,0,5.2256
Standard Class,Home Office,United States,New York City,New York,10011,East,Furniture,69.264,Chairs,2,0.1,14.6224
First Class,Consumer,United States,Indianapolis,Indiana,46203,Central,Office Supplies,3.69,Labels,1,0,1.7343
First Class,Consumer,United States,Indianapolis,Indiana,46203,Central,Office Supplies,1103.97,Binders,3,0,496.7865
Second Class,Corporate,United States,Port Arthur,Texas,77642,Central,Furniture,246.1328,Bookcases,2,0.32,-76.0116
Second Class,Corporate,United States,Port Arthur,Texas,77642,Central,Office Supplies,11.696,Labels,2,0.2,3.9474
Second Class,Corporate,United States,Port Arthur,Texas,77642,Central,Technology,439.992,Copiers,1,0.2,164.997
Standard Class,Home Office,United States,Nashville,Tennessee,37211,South,Office Supplies,64.784,Storage,1,0.2,-12.9568
Standard Class,Corporate,United States,Houston,Texas,77095,Central,Office Supplies,33.28,Binders,5,0.8,-49.92
Standard Class,Corporate,United States,Houston,Texas,77095,Central,Office Supplies,14.088,Paper,3,0.2,4.9308
Second Class,Home Office,United States,Los Angeles,California,90004,West,Office Supplies,11.16,Art,2,0,2.79
Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,896.328,Tables,9,0.2,22.4082
Second Class,Home Office,United States,Los Angeles,California,90004,West,Office Supplies,189,Appliances,1,0,68.04
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Technology,53.982,Phones,3,0.4,-10.7964
Standard Class,Corporate,United States,Redmond,Oregon,97756,West,Furniture,177.225,Tables,5,0.5,-120.513
Standard Class,Consumer,United States,Citrus Heights,California,95610,West,Furniture,129.39,Furnishings,3,0,54.3438
Standard Class,Corporate,United States,Los Angeles,California,90032,West,Office Supplies,54.32,Storage,4,0,0.5432
Second Class,Consumer,United States,Tallahassee,Florida,32303,South,Technology,4367.896,Phones,13,0.2,327.5922
Second Class,Consumer,United States,Tallahassee,Florida,32303,South,Office Supplies,49.568,Paper,2,0.2,15.49
Second Class,Consumer,United States,Tallahassee,Florida,32303,South,Office Supplies,161.376,Appliances,6,0.2,12.1032
Second Class,Consumer,United States,Tallahassee,Florida,32303,South,Furniture,2.784,Furnishings,2,0.2,0.4176
Second Class,Consumer,United States,Tallahassee,Florida,32303,South,Office Supplies,8.72,Paper,5,0.2,2.943
Second Class,Home Office,United States,Lakewood,Ohio,44107,East,Office Supplies,3.912,Art,1,0.2,1.0269
Same Day,Consumer,United States,The Colony,Texas,75056,Central,Office Supplies,59.752,Envelopes,7,0.2,19.4194
Second Class,Consumer,United States,Seattle,Washington,98105,West,Furniture,63.92,Furnishings,4,0,3.196
Second Class,Consumer,United States,Seattle,Washington,98105,West,Technology,383.96,Phones,5,0.2,38.396
Same Day,Corporate,United States,Los Angeles,California,90032,West,Office Supplies,7.752,Binders,3,0.2,2.8101
Same Day,Corporate,United States,Los Angeles,California,90032,West,Office Supplies,33.568,Binders,2,0.2,11.7488
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Technology,666.344,Phones,7,0.2,66.6344
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Furniture,573.728,Tables,4,0.2,-64.5444
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,21.936,Binders,3,0.2,8.226
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,19.44,Paper,3,0,9.3312
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Technology,447.968,Machines,4,0.2,139.99
Standard Class,Corporate,United States,Long Beach,New York,11561,East,Office Supplies,16.78,Appliances,2,0,4.195
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,20.96,Art,2,0,5.24
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,88.752,Binders,3,0.2,27.735
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,304.23,Storage,3,0,9.1269
Standard Class,Consumer,United States,San Francisco,California,94110,West,Office Supplies,167.86,Envelopes,2,0,78.8942
Standard Class,Consumer,United States,Richmond,Virginia,23223,South,Furniture,82.38,Furnishings,6,0,25.5378
Second Class,Consumer,United States,Albuquerque,New Mexico,87105,West,Technology,23.976,Phones,3,0.2,-5.6943
Second Class,Consumer,United States,Albuquerque,New Mexico,87105,West,Office Supplies,33.29,Storage,1,0,7.9896
Standard Class,Consumer,United States,Akron,Ohio,44312,East,Office Supplies,14.952,Binders,2,0.7,-11.9616
Standard Class,Consumer,United States,Akron,Ohio,44312,East,Technology,323.982,Phones,3,0.4,-80.9955
Standard Class,Consumer,United States,Akron,Ohio,44312,East,Office Supplies,2.286,Binders,2,0.7,-1.6764
Standard Class,Consumer,United States,Akron,Ohio,44312,East,Office Supplies,14.352,Art,3,0.2,0.897
Standard Class,Consumer,United States,Akron,Ohio,44312,East,Technology,71.976,Accessories,3,0.2,0.8997
First Class,Corporate,United States,Plainfield,New Jersey,7060,East,Office Supplies,9.21,Art,3,0,2.3025
First Class,Corporate,United States,Plainfield,New Jersey,7060,East,Office Supplies,18,Paper,5,0,8.28
Standard Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,42.93,Paper,9,0,19.3185
Standard Class,Consumer,United States,Hialeah,Florida,33012,South,Office Supplies,15.552,Paper,3,0.2,5.4432
Standard Class,Consumer,United States,Hialeah,Florida,33012,South,Office Supplies,17.92,Appliances,5,0.2,1.12
Standard Class,Consumer,United States,Redmond,Washington,98052,West,Technology,19.99,Accessories,1,0,6.7966
Standard Class,Consumer,United States,Redmond,Washington,98052,West,Office Supplies,22.92,Binders,5,0.2,8.022
Standard Class,Consumer,United States,Daytona Beach,Florida,32114,South,Technology,50.88,Accessories,6,0.2,14.628
Standard Class,Consumer,United States,Daytona Beach,Florida,32114,South,Office Supplies,27.312,Envelopes,2,0.2,9.2178
Standard Class,Consumer,United States,Bullhead City,Arizona,86442,West,Office Supplies,7.92,Envelopes,1,0.2,2.772
Standard Class,Consumer,United States,Bullhead City,Arizona,86442,West,Furniture,14.368,Furnishings,2,0.2,3.9512
Standard Class,Home Office,United States,Los Angeles,California,90049,West,Technology,107.97,Accessories,3,0,22.6737
Standard Class,Home Office,United States,Los Angeles,California,90049,West,Office Supplies,113.82,Paper,3,0,53.4954
Standard Class,Consumer,United States,Franklin,Tennessee,37064,South,Office Supplies,5.184,Paper,1,0.2,1.8144
Same Day,Consumer,United States,Portage,Indiana,46368,Central,Office Supplies,16.28,Art,2,0,6.512
Standard Class,Consumer,United States,Arlington,Virginia,22204,South,Office Supplies,544.38,Storage,3,0,157.8702
First Class,Consumer,United States,San Francisco,California,94110,West,Office Supplies,19.824,Binders,6,0.2,6.6906
First Class,Consumer,United States,San Francisco,California,94110,West,Technology,657.504,Phones,6,0.2,-131.5008
First Class,Consumer,United States,San Francisco,California,94110,West,Technology,99.54,Accessories,2,0,10.9494
First Class,Consumer,United States,San Francisco,California,94110,West,Technology,199.96,Accessories,4,0,85.9828
Standard Class,Consumer,United States,New Rochelle,New York,10801,East,Furniture,631.782,Chairs,2,0.1,140.396
Standard Class,Consumer,United States,New Rochelle,New York,10801,East,Furniture,60.72,Furnishings,3,0,26.1096
Second Class,Consumer,United States,Mesa,Arizona,85204,West,Office Supplies,20.724,Binders,2,0.7,-15.1976
Second Class,Consumer,United States,Mesa,Arizona,85204,West,Office Supplies,415.872,Storage,8,0.2,-41.5872
Standard Class,Consumer,United States,Lancaster,Ohio,43130,East,Office Supplies,16.768,Storage,2,0.2,1.4672
Standard Class,Consumer,United States,Lancaster,Ohio,43130,East,Technology,27.12,Accessories,2,0.2,-4.746
Second Class,Consumer,United States,Stockton,California,95207,West,Technology,95.84,Phones,4,0.2,34.742
Second Class,Consumer,United States,Stockton,California,95207,West,Office Supplies,12.96,Paper,2,0,6.2208
Second Class,Corporate,United States,Asheville,North Carolina,28806,South,Office Supplies,19.008,Binders,8,0.7,-12.672
Second Class,Consumer,United States,Clarksville,Tennessee,37042,South,Office Supplies,1598.058,Binders,7,0.7,-1065.372
Second Class,Consumer,United States,Clarksville,Tennessee,37042,South,Office Supplies,36.96,Art,4,0.2,12.012
Same Day,Consumer,United States,Aurora,Illinois,60505,Central,Office Supplies,10.368,Paper,2,0.2,3.6288
Same Day,Consumer,United States,Aurora,Illinois,60505,Central,Furniture,77.72,Furnishings,1,0.6,-66.062
Same Day,Consumer,United States,Aurora,Illinois,60505,Central,Furniture,520.464,Chairs,2,0.3,-14.8704
First Class,Corporate,United States,Warwick,Rhode Island,2886,East,Office Supplies,111.96,Paper,2,0,54.8604
Second Class,Consumer,United States,Lafayette,Louisiana,70506,South,Technology,29.16,Phones,3,0,8.4564
Second Class,Consumer,United States,Fargo,North Dakota,58103,Central,Office Supplies,131.94,Art,3,0,35.6238
Second Class,Consumer,United States,Fargo,North Dakota,58103,Central,Office Supplies,25.92,Art,4,0,8.2944
Second Class,Consumer,United States,Fargo,North Dakota,58103,Central,Office Supplies,704.76,Storage,4,0,162.0948
Second Class,Consumer,United States,Fargo,North Dakota,58103,Central,Office Supplies,7.41,Fasteners,3,0,3.4827
Second Class,Consumer,United States,Fargo,North Dakota,58103,Central,Office Supplies,21.5,Art,10,0,7.095
Second Class,Consumer,United States,Chicago,Illinois,60623,Central,Office Supplies,10.528,Fasteners,4,0.2,3.29
Second Class,Consumer,United States,Chicago,Illinois,60623,Central,Office Supplies,20.544,Paper,6,0.2,6.42
Standard Class,Home Office,United States,Lawrence,Indiana,46226,Central,Office Supplies,104.9,Binders,5,0,50.352
Standard Class,Home Office,United States,Lawrence,Indiana,46226,Central,Office Supplies,39.68,Art,2,0,16.2688
Standard Class,Home Office,United States,Lawrence,Indiana,46226,Central,Office Supplies,51.75,Labels,5,0,24.84
Second Class,Consumer,United States,Elkhart,Indiana,46514,Central,Office Supplies,11.68,Art,2,0,5.4896
Second Class,Consumer,United States,Elkhart,Indiana,46514,Central,Technology,159.75,Accessories,5,0,11.1825
Standard Class,Corporate,United States,Kent,Ohio,44240,East,Office Supplies,103.968,Appliances,6,0.2,16.8948
Standard Class,Home Office,United States,San Gabriel,California,91776,West,Furniture,303.25,Furnishings,5,0,63.6825
Standard Class,Home Office,United States,San Gabriel,California,91776,West,Office Supplies,270.72,Appliances,3,0,78.5088
Standard Class,Home Office,United States,San Gabriel,California,91776,West,Furniture,1487.04,Chairs,5,0.2,148.704
Second Class,Home Office,United States,Henderson,Kentucky,42420,South,Office Supplies,17.48,Envelopes,2,0,8.2156
Second Class,Home Office,United States,Henderson,Kentucky,42420,South,Office Supplies,71.88,Envelopes,2,0,32.346
Standard Class,Consumer,United States,San Francisco,California,94110,West,Office Supplies,60.45,Art,3,0,16.3215
Standard Class,Consumer,United States,San Francisco,California,94110,West,Furniture,253.176,Tables,3,0.2,-31.647
Standard Class,Consumer,United States,Highland Park,Illinois,60035,Central,Office Supplies,2.88,Binders,5,0.8,-4.464
Standard Class,Consumer,United States,Highland Park,Illinois,60035,Central,Furniture,384.944,Bookcases,4,0.3,-126.4816
Standard Class,Consumer,United States,Highland Park,Illinois,60035,Central,Technology,153.584,Phones,2,0.2,13.4386
Standard Class,Consumer,United States,Highland Park,Illinois,60035,Central,Furniture,913.43,Bookcases,5,0.3,-52.196
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,43.92,Appliances,4,0,11.8584
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,25.032,Binders,3,0.2,7.8225
First Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,46.76,Paper,7,0,22.4448
First Class,Consumer,United States,New York City,New York,10035,East,Furniture,183.968,Bookcases,2,0.2,-25.2956
First Class,Consumer,United States,New York City,New York,10035,East,Technology,1259.97,Phones,3,0,327.5922
First Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,68.97,Art,3,0,19.3116
Standard Class,Corporate,United States,Dallas,Texas,75081,Central,Office Supplies,70.368,Art,2,0.2,6.1572
Standard Class,Corporate,United States,Dallas,Texas,75081,Central,Technology,59.96,Phones,5,0.2,21.7355
Same Day,Consumer,United States,Springfield,Ohio,45503,East,Office Supplies,25.984,Storage,1,0.2,-5.1968
Same Day,Consumer,United States,Springfield,Ohio,45503,East,Office Supplies,27.36,Binders,3,0.7,-21.888
Standard Class,Corporate,United States,San Diego,California,92024,West,Technology,361.376,Phones,2,0.2,27.1032
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Furniture,172.186,Chairs,2,0.3,-46.7362
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Furniture,69.008,Furnishings,2,0.2,12.0764
Same Day,Consumer,United States,Columbia,Maryland,21044,East,Office Supplies,199.9,Envelopes,5,0,89.955
Same Day,Consumer,United States,Columbia,Maryland,21044,East,Office Supplies,901.95,Appliances,3,0,297.6435
Same Day,Consumer,United States,Columbia,Maryland,21044,East,Furniture,971.5,Furnishings,5,0,252.59
First Class,Consumer,United States,Colorado Springs,Colorado,80906,West,Office Supplies,11.328,Art,2,0.2,2.5488
First Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,21.24,Art,3,0,8.0712
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Technology,34.8,Accessories,3,0.2,2.175
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,38.976,Storage,3,0.2,-2.436
Standard Class,Corporate,United States,Columbus,Indiana,47201,Central,Office Supplies,9.08,Paper,2,0,4.086
Standard Class,Corporate,United States,Columbus,Indiana,47201,Central,Office Supplies,314.55,Paper,3,0,150.984
Standard Class,Corporate,United States,Columbus,Indiana,47201,Central,Office Supplies,4.91,Binders,1,0,2.3077
Standard Class,Home Office,United States,Los Angeles,California,90004,West,Office Supplies,5.78,Labels,2,0,2.7166
Standard Class,Home Office,United States,Los Angeles,California,90004,West,Office Supplies,107.94,Art,6,0,30.2232
First Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,19.65,Paper,3,0,9.039
First Class,Consumer,United States,New York City,New York,10024,East,Technology,617.97,Phones,3,0,160.6722
First Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,59.7,Appliances,3,0,26.865
Standard Class,Corporate,United States,Lawrence,Massachusetts,1841,East,Office Supplies,387.99,Binders,1,0,182.3553
Standard Class,Consumer,United States,San Francisco,California,94122,West,Technology,575.92,Phones,2,0.2,71.99
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,30.4,Fasteners,5,0,15.2
Second Class,Consumer,United States,Detroit,Michigan,48205,Central,Office Supplies,478.24,Binders,8,0,219.9904
Standard Class,Consumer,United States,Hamilton,Ohio,45011,East,Furniture,190.848,Furnishings,3,0.2,-21.4704
Standard Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,5.484,Binders,4,0.7,-4.0216
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Office Supplies,40.92,Supplies,5,0.2,3.069
Standard Class,Consumer,United States,Margate,Florida,33063,South,Office Supplies,15.552,Art,3,0.2,2.3328
First Class,Corporate,United States,Sandy Springs,Georgia,30328,South,Office Supplies,17.24,Appliances,2,0,4.4824
First Class,Corporate,United States,Sandy Springs,Georgia,30328,South,Furniture,302.94,Bookcases,3,0,75.735
First Class,Corporate,United States,Sandy Springs,Georgia,30328,South,Technology,34.75,Phones,5,0,15.6375
First Class,Corporate,United States,Sandy Springs,Georgia,30328,South,Office Supplies,113.94,Binders,6,0,54.6912
First Class,Corporate,United States,Sandy Springs,Georgia,30328,South,Technology,55.98,Phones,2,0,15.6744
Standard Class,Corporate,United States,Albuquerque,New Mexico,87105,West,Office Supplies,27.18,Paper,3,0,12.231
Standard Class,Consumer,United States,Tulsa,Oklahoma,74133,Central,Furniture,1805.88,Chairs,6,0,523.7052
Same Day,Consumer,United States,Orange,New Jersey,7050,East,Office Supplies,70.95,Art,3,0,18.447
Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Office Supplies,20,Fasteners,4,0,9.6
Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Office Supplies,7.98,Art,3,0,2.0748
Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,24.1,Furnishings,5,0,9.158
Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Office Supplies,8.75,Art,1,0,2.625
Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,842.94,Tables,3,0,160.1586
Standard Class,Consumer,United States,Chicago,Illinois,60653,Central,Office Supplies,2.182,Binders,1,0.8,-3.6003
Standard Class,Consumer,United States,Chicago,Illinois,60653,Central,Office Supplies,27.384,Art,7,0.2,2.7384
Standard Class,Consumer,United States,Chicago,Illinois,60653,Central,Office Supplies,26.406,Appliances,3,0.8,-71.2962
Standard Class,Consumer,United States,Port Arthur,Texas,77642,Central,Office Supplies,10.368,Paper,2,0.2,3.6288
Standard Class,Consumer,United States,Port Arthur,Texas,77642,Central,Office Supplies,23.68,Paper,4,0.2,7.4
Standard Class,Consumer,United States,Westland,Michigan,48185,Central,Technology,109.95,Accessories,1,0,36.2835
Standard Class,Consumer,United States,Westland,Michigan,48185,Central,Office Supplies,965.85,Storage,5,0,135.219
Standard Class,Consumer,United States,Westland,Michigan,48185,Central,Office Supplies,29.2,Art,5,0,10.512
Standard Class,Consumer,United States,Westland,Michigan,48185,Central,Office Supplies,32.4,Paper,5,0,15.552
Standard Class,Home Office,United States,Bloomington,Indiana,47401,Central,Office Supplies,78.35,Envelopes,5,0,36.8245
Standard Class,Home Office,United States,Bloomington,Indiana,47401,Central,Office Supplies,31.68,Paper,6,0,14.256
Standard Class,Home Office,United States,Bloomington,Indiana,47401,Central,Office Supplies,29.12,Binders,4,0,14.2688
Standard Class,Home Office,United States,Bloomington,Indiana,47401,Central,Office Supplies,169.45,Storage,5,0,42.3625
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,12.56,Furnishings,2,0,4.0192
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,6.48,Paper,1,0,3.1104
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,186.69,Envelopes,3,0,87.7443
First Class,Consumer,United States,San Francisco,California,94109,West,Furniture,25.4,Furnishings,5,0,8.636
First Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,43.96,Envelopes,2,0,20.6612
First Class,Consumer,United States,San Francisco,California,94109,West,Furniture,1279.165,Bookcases,5,0.15,225.735
First Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,27.92,Storage,4,0,0.5584
Standard Class,Home Office,United States,San Francisco,California,94110,West,Furniture,129.568,Chairs,2,0.2,-12.9568
Standard Class,Home Office,United States,San Francisco,California,94110,West,Office Supplies,6.368,Binders,2,0.2,2.1492
Standard Class,Consumer,United States,San Jose,California,95123,West,Office Supplies,244.55,Paper,5,0,114.9385
Standard Class,Consumer,United States,Denver,Colorado,80219,West,Office Supplies,1332.496,Supplies,2,0.2,-299.8116
First Class,Home Office,United States,Aurora,Colorado,80013,West,Furniture,32.776,Furnishings,1,0.2,3.2776
First Class,Home Office,United States,Aurora,Colorado,80013,West,Office Supplies,147.184,Storage,2,0.2,-29.4368
First Class,Home Office,United States,Aurora,Colorado,80013,West,Technology,54.384,Accessories,2,0.2,1.3596
First Class,Home Office,United States,Aurora,Colorado,80013,West,Office Supplies,76.776,Binders,4,0.7,-58.8616
First Class,Home Office,United States,Aurora,Colorado,80013,West,Office Supplies,14.352,Paper,3,0.2,5.2026
First Class,Home Office,United States,Aurora,Colorado,80013,West,Office Supplies,209.792,Appliances,2,0.2,26.224
Standard Class,Corporate,United States,Boise,Idaho,83704,West,Office Supplies,3.304,Binders,1,0.2,1.1151
Standard Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,16.38,Art,9,0,7.371
Standard Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,167.96,Envelopes,2,0,78.9412
Standard Class,Consumer,United States,New York City,New York,10035,East,Furniture,321.568,Bookcases,2,0.2,-16.0784
Standard Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,12.96,Paper,2,0,6.2208
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Furniture,128.058,Chairs,3,0.3,-23.7822
Same Day,Home Office,United States,Mentor,Ohio,44060,East,Furniture,63.686,Chairs,1,0.3,-15.4666
Same Day,Home Office,United States,Mentor,Ohio,44060,East,Technology,239.976,Accessories,3,0.2,65.9934
Same Day,Home Office,United States,Mentor,Ohio,44060,East,Furniture,344.22,Tables,2,0.4,-189.321
Same Day,Home Office,United States,Mentor,Ohio,44060,East,Office Supplies,15.552,Paper,3,0.2,5.4432
Same Day,Home Office,United States,Mentor,Ohio,44060,East,Furniture,21.248,Furnishings,4,0.2,7.4368
Same Day,Home Office,United States,Mentor,Ohio,44060,East,Office Supplies,8.448,Paper,2,0.2,2.64
Same Day,Consumer,United States,Lawton,Oklahoma,73505,Central,Office Supplies,333.09,Storage,3,0,23.3163
Same Day,Consumer,United States,Lawton,Oklahoma,73505,Central,Furniture,248.98,Tables,2,0,54.7756
Standard Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,24.9,Paper,5,0,11.703
Standard Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,15.26,Fasteners,7,0,5.0358
Standard Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,43.32,Appliances,2,0,14.2956
Standard Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,43.584,Binders,12,0.2,15.7992
Standard Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,116.28,Paper,3,0,56.9772
Standard Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,9.296,Binders,2,0.2,3.0212
Standard Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,19.44,Paper,3,0,9.3312
Standard Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,314.55,Paper,3,0,150.984
Standard Class,Home Office,United States,Houston,Texas,77036,Central,Office Supplies,16.27,Binders,5,0.8,-25.2185
Standard Class,Home Office,United States,Houston,Texas,77036,Central,Office Supplies,69.12,Supplies,9,0.2,-14.688
Standard Class,Home Office,United States,Houston,Texas,77036,Central,Office Supplies,4.47,Binders,3,0.8,-7.8225
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,418.296,Tables,3,0.2,5.2287
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Technology,659.988,Copiers,2,0.4,109.998
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Furniture,8.128,Furnishings,2,0.2,1.4224
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,36.288,Paper,7,0.2,12.7008
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Furniture,909.72,Chairs,6,0.3,-51.984
